Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-04-09,1665.941017575135,1573.9268115622654,1599.0621337890625,2075080,1661.7483112733094,1193.7307292540345,1427.739520263672,86.81993381603041,90.33440921218892,,,0,1
2020-04-13,1611.8149177327575,1550.6762835122079,1576.2958984375,829070,1670.001396718762,1190.7136179296754,1430.3575073242187,82.33362044927223,85.52128335916639,,,0,1
2020-04-15,1651.4122351399465,1581.7226429204445,1645.23046875,1555790,1696.3505800122553,1181.0803281908697,1438.7154541015625,95.91786393305378,88.35713939945214,,,0,1
2020-04-16,1709.3983308060801,1619.2357661588755,1699.2947998046875,2257400,1735.02969590375,1169.9717445259375,1452.5007202148438,98.16603684406314,92.13917374212973,,,0,1
2020-04-17,1744.3711210482488,1635.497159758196,1645.0784912109375,1872710,1758.430067019514,1174.3665028047049,1466.3982849121094,81.2269448053285,91.77028186081513,,,0,1
2020-04-20,1660.7941861481752,1607.6367874692774,1612.0428466796875,1351970,1774.0055267442792,1181.9170928846272,1477.9613098144532,67.73000139565049,82.37432768168071,,,0,1
2020-04-21,1637.0735848224135,1585.796337966027,1615.7413330078125,1337540,1782.0287611616643,1206.9254136430234,1494.4770874023438,63.21274454107877,70.72323024735259,,,0,1
2020-04-22,1680.7544376640865,1596.9255952924264,1675.2515869140625,2022410,1789.101701857298,1242.790046189577,1515.9458740234375,80.23227746751317,70.39167446808081,,,0,1
2020-04-23,1690.2501216078958,1643.3409096566024,1655.690185546875,1871000,1798.8090658049698,1264.329056753624,1531.5690612792969,72.24629008547993,71.89710403135729,,,0,1
2020-04-24,1690.2501024613446,1642.7711669989474,1652.8414306640625,1451160,1783.7837199062185,1321.7188923984688,1552.7513061523437,71.35473976310058,74.6111024386979,,,0,1
2020-04-27,1710.6659166647116,1654.6407770126339,1704.569580078125,1219860,1775.613645379847,1372.3584005185905,1573.9860229492188,87.5436539320383,77.04822792687294,,,0,1
2020-04-28,1711.420815162511,1661.857494917496,1668.3763427734375,1075430,1770.4224806061434,1407.2290941008878,1588.8257873535156,72.81497192832177,77.23778854115355,,,0,1
2020-04-29,1685.3123605198055,1652.266974660448,1660.78466796875,1052420,1765.9704718661073,1436.0857659268613,1601.0281188964843,56.84631859951052,72.4016481532902,,,0,1
2020-04-30,1709.241655794762,1662.9021689826234,1702.0865478515625,1583700,1765.3214704701734,1463.4753679087328,1614.398419189453,78.16948880280901,69.2769264435471,,,0,1
2020-05-04,1683.4272982894574,1648.4733668076396,1657.6273193359375,1189740,1762.37149962779,1483.4968841612726,1622.9341918945313,55.21625521063728,63.41068753765227,,,0,1
2020-05-05,1674.7670695501417,1623.779494836387,1654.3084716796875,1306790,1763.6980237674543,1492.8141588497333,1628.2560913085938,44.627425718799046,59.33772324408178,,,0,1
2020-05-06,1672.8822409284817,1639.9224016114779,1643.654296875,1355090,1754.0338412629526,1518.1915127409538,1636.1126770019532,36.486229263181976,45.44330339753943,,,0,1
2020-05-07,1640.8722527334608,1597.6901777145392,1627.810791015625,2090760,1716.1571830442924,1575.4187080689887,1645.7879455566406,26.495040531011316,35.86956517099744,,,0,1
2020-05-08,1692.1492634106128,1633.4178433041545,1690.5302734375,1792000,1721.21320321704,1577.6203417048348,1649.4167724609374,83.37064384965602,48.783971214616436,,,0,1
2020-05-11,1701.6450041398853,1660.813120670011,1667.6595458984375,1840310,1721.3066873984737,1584.0870137734012,1652.6968505859375,65.16501382479123,58.34356606848619,,,0,1
2020-05-12,1688.0658936041973,1650.842457466636,1658.1494140625,2389250,1719.4571760080003,1591.8452531912185,1655.6512145996094,53.47281645429658,67.33615804291462,,,0,1
2020-05-13,1685.5022896200219,1557.3091577334287,1567.9776611328125,5620330,1721.2881197174484,1589.1824857513016,1655.235302734375,6.922580405244892,41.85347022811089,,,0,1
2020-05-14,1600.0401800530533,1538.4124965225346,1542.353271484375,4102380,1733.2364650525133,1566.9464206896741,1650.0914428710937,2.2777950752997973,20.891063978280418,,,0,1
2020-05-15,1571.5526602394623,1538.5025244393407,1561.4681396484375,2715920,1731.8395450902317,1554.560674636331,1643.2001098632813,13.326320553337537,7.508898677960737,,,0,1
2020-05-18,1573.9265414145043,1534.7279086900883,1542.14892578125,1679600,1737.5244405690955,1538.5828226144981,1638.0536315917968,4.199951904871724,6.601355844503015,,,0,1
2020-05-19,1558.809265864251,1529.6429903229262,1533.5980224609375,1181440,1743.6041291725796,1524.658651589139,1634.1313903808593,2.202150070336444,6.576140842848564,,,0,1
2020-05-20,1575.8212275252747,1533.6646591839508,1548.13623046875,1795390,1746.6038397239136,1514.8984307838991,1630.7511352539063,10.296980825129742,5.5663609334459645,,,0,1
2020-05-21,1567.2797286555715,1544.48983862968,1547.38134765625,1210800,1743.9239226826949,1504.7913238993365,1624.3576232910157,10.312877703978879,7.604002866481683,,,0,1
2020-05-22,1557.005360951212,1533.569706019919,1539.7562255859375,1183000,1742.8780982999042,1494.2437522860332,1618.5609252929687,5.879719102459833,8.829859210522812,,,0,1
2020-05-26,1590.5444605680532,1550.1303319485064,1581.5377197265625,1986920,1739.263245248762,1490.7282342434255,1614.9957397460937,30.171001055174628,15.454532620537776,,,0,1
2020-05-27,1597.1913977618337,1565.5798852637479,1587.36328125,1675330,1726.478534354844,1491.792315254531,1609.1354248046875,33.557915774462124,23.202878644032193,,,0,1
2020-05-28,1617.1324095858513,1583.8971574804464,1613.25341796875,1762880,1720.406256091466,1492.3523010374404,1606.3792785644532,48.610144608423184,37.44635381268664,,,0,1
2020-05-29,1671.2585105191768,1593.825073766754,1665.636962890625,2444660,1721.1557951046948,1492.0879915163991,1606.621893310547,79.06533740495664,53.744465929280636,,,0,1
2020-06-01,1685.4072081503828,1624.8240425093963,1631.7037353515625,1751860,1709.3085917109472,1496.8969136601465,1603.1027526855469,64.42297351881824,64.03281851073268,,,0,1
2020-06-02,1659.578651291239,1611.6249268352697,1615.6558837890625,1322010,1704.2922846881488,1497.7160771282574,1601.0041809082031,55.1862441664006,66.22485169672515,,,0,1
2020-06-03,1663.8467657422352,1628.7171113023876,1652.983642578125,1461010,1704.0837055768175,1497.7921733294324,1600.937939453125,79.18420159360731,66.26447309294205,,,0,1
2020-06-04,1666.1831406629965,1628.3424504027987,1632.95263671875,976310,1702.7233132691329,1498.082399621492,1600.4028564453124,66.32437657168617,66.89827411056469,,,0,1
2020-06-05,1657.9644872745032,1610.15797322029,1623.4805908203125,1620960,1702.2806886333433,1498.0920042377506,1600.186346435547,60.24336128425354,68.58397981651568,,,0,1
2020-06-08,1638.0233088013783,1594.3426872333414,1598.729736328125,1470700,1688.4223475803913,1502.7702915797652,1595.5963195800782,44.353412464554424,56.97371677349804,,,0,1
2020-06-09,1612.8596993226106,1568.7992168822063,1571.795166015625,1746850,1677.670303360684,1503.935897811191,1590.8031005859375,25.175242913876033,43.25733888756133,,,0,1
2020-06-10,1598.3308095088305,1558.2586350349561,1570.099853515625,1234400,1667.6391137011465,1505.1621314160411,1586.4006225585938,24.058712098884534,31.195789159104994,,,0,1
2020-06-11,1605.9646967199537,1576.0136468619896,1582.923583984375,1651310,1667.9466346418158,1506.349202760528,1587.1479187011719,32.50440587599333,27.24612029625129,,,0,1
2020-06-12,1593.298075541234,1553.5445285471433,1572.2537841796875,1406780,1667.0220865060255,1510.2638021658495,1588.6429443359375,16.354200993055034,24.305772989310963,,,0,1
2020-06-15,1586.902999644365,1560.2163425932888,1563.104248046875,1396540,1666.9877991948424,1510.4617003168764,1588.7247497558594,7.249753704760048,18.702786857936132,,,0,1
2020-06-16,1581.9469103762608,1550.6853521298458,1557.55712890625,1932370,1666.1138203915534,1512.8764994326652,1589.4951599121093,5.10071415239163,9.568222950068899,,,0,1
2020-06-17,1566.887935090965,1535.9266628166522,1543.8372802734375,1269590,1665.176266476035,1514.8379791294337,1590.0071228027343,5.292071579698912,5.880846478950192,,,0,1
2020-06-18,1553.5446410975392,1530.1556557123422,1542.0074462890625,1584450,1665.6346160732267,1513.7667511142733,1589.70068359375,7.633927255864474,6.008904329318334,,,0,1
2020-06-19,1554.0830184579258,1529.9268578703748,1533.9918212890625,1688930,1666.7512272632175,1511.3111872875638,1589.0312072753907,2.9833218222124116,5.303106885925261,,,0,1
2020-06-22,1552.5915553460482,1531.1469206036993,1538.371337890625,1359150,1666.8690733122885,1511.0548524689616,1588.961962890625,6.197497720602361,5.604915599559743,,,0,1
2020-06-23,1593.5744901519492,1544.9714259508887,1577.22412109375,2447350,1666.7637398375361,1510.7288260804328,1588.7462829589845,34.71198703942361,14.630935527412788,,,0,1
2020-06-24,1606.9180359129468,1574.4318327789867,1592.42626953125,2010690,1667.030849675327,1510.9680150707666,1588.9994323730468,48.81331523532567,29.907599998450547,,,0,1
2020-06-25,1605.9647488966987,1578.8015469123925,1599.960205078125,1696650,1665.720112588438,1510.949430868593,1588.3347717285155,64.78783216708153,49.43771148061027,,,0,1
