Date,High,Low,Close,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2021-06-02,3014.2156801467986,2971.809013836313,2985.5947265625,3041.3191594522223,2878.616289766528,2959.967724609375,55.07026078004327,64.10175126384254,,,0,0
2021-06-03,3009.5409640354887,2979.10721084805,2996.852294921875,3045.181171830819,2880.537529341056,2962.8593505859376,61.07445711364288,61.06590653874232,,,0,0
2021-06-04,3011.735458898563,2981.3494521154325,2999.237548828125,3048.891889197672,2881.353325646078,2965.122607421875,59.00449320057307,58.38307036475306,,,0,0
2021-06-07,3043.790019998282,2989.553464209132,3036.873291015625,3057.927059816186,2878.5718171369385,2968.2494384765623,80.85910735220845,66.97935255547479,,,0,0
2021-06-08,3082.476158038251,3040.689526582477,3053.044189453125,3068.7479346390674,2874.4254296187455,2971.5866821289064,84.07791860601806,74.64717305293318,,,0,0
2021-06-09,3071.981772664245,3039.73545778376,3053.1396484375,3079.685902810122,2872.3456157445657,2976.015759277344,83.88116303173618,82.93939632998756,,,0,0
2021-06-10,3075.7981808305744,3046.2231983225884,3068.92919921875,3092.1901293529554,2873.6013257251698,2982.8957275390626,91.83706750589768,86.59871638121729,,,0,0
2021-06-11,3156.890951889651,3063.395843613681,3123.30908203125,3112.554972636036,2875.8616777545894,2994.2083251953127,84.48657497732552,86.73493517165313,,,0,0
2021-06-14,3156.6052230936757,3120.018240381803,3125.742431640625,3130.619648421885,2878.9329882968655,3004.776318359375,84.08905117973252,86.80423122098523,,,0,0
2021-06-15,3146.395968669786,3102.0812509280954,3112.766357421875,3143.594033350702,2883.9883641102356,3013.7911987304688,76.1594270451933,81.5783510674171,,,0,0
2021-06-16,3143.24789961102,3103.4648280483857,3123.83349609375,3155.4550144123077,2891.9094387126925,3023.6822265625,82.13901575507897,80.79583132666825,,,0,0
2021-06-17,3182.6973512718127,3110.143197279312,3165.238525390625,3170.521249508987,2902.8544340847634,3036.687841796875,91.72129379296399,83.33991219774542,,,0,0
