Date,High,Low,Close,Volume,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2022-11-16,160.7716020241469,157.2391788434134,157.98284912109375,9781274,-84.41575076100006,1.5360307850410209,2.2807132789139954,-0.7446824938729746,,,0,1
2022-11-17,158.77301180745658,155.70538057713037,156.4490509033203,12778124,-94.8219870824022,1.115252125239806,2.0476210481791575,-0.9323689229393515,,,0,1
2022-11-18,157.14622134842156,153.4743663732755,154.1715545654297,11134908,-95.79832303062096,0.5911921896066872,1.7563352764646636,-1.1651430868579764,,,0,1
2022-11-21,154.49690876183732,152.59125809839267,152.8236541748047,12788632,-98.67021405382276,0.0663418705325114,1.4183365952782332,-1.3519947247457218,,,0,1
2022-11-22,155.70537370605152,153.2419809301061,155.2870635986328,15198091,-84.36652028038878,-0.14911038405534782,1.104847199411517,-1.2539575834668648,,,0,1
2022-11-23,156.40257358699574,154.54340480735834,156.21665954589844,12004998,-77.9659789999031,-0.24205694232315977,0.8354663710645817,-1.0775233133877413,,,0,1
2022-11-24,158.02933684492533,155.79834011614125,157.56454467773438,10986350,-65.14653069652839,-0.2045962359498219,0.6274538496617009,-0.8320500856115228,,,0,1
2022-11-25,159.19131249496618,156.72791975636767,157.79693603515625,12358833,-63.51785283578684,-0.15437675673533136,0.47108772838229446,-0.6254644851176259,,,0,1
2022-11-28,159.7955453593071,157.4715844658656,158.4011688232422,5471921,-54.044117817132275,-0.06507082546087872,0.3638560176136599,-0.4289268430745386,,,0,1
2022-11-29,159.51667078298306,157.14622799257037,158.16876220703125,7693168,-40.298616209077764,-0.012899802246039371,0.28850485364172,-0.3014046558877594,,158.16876220703125,-1,0
2022-11-30,160.67864011664741,157.79692332476083,160.07440185546875,9133076,-19.5002042800333,0.18013877538734846,0.26683163799084575,-0.08669286260349729,,,0,0
2022-12-01,161.42229615451387,158.81947165332178,160.07440185546875,9214914,-19.5002042800333,0.32932696270253814,0.27933070293318424,0.0499962597693539,,,0,0
