Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2024-01-04,10025.307432466361,9892.115284011525,9921.5869140625,711733,28.363037438231416,40.16097730581487,-88.84406540151213,-70.07321398109423,-18.7708514204179,,,0,1
2024-01-05,9980.728781579128,9876.711260778551,9923.271484375,673131,23.557930247701584,29.638483369519154,-97.4257150024223,-75.54371418535985,-21.882000817062448,,,0,1
2024-01-08,10034.173592719024,9819.154723388612,9853.62890625,600153,9.40305208522443,20.44133992371915,-108.59449838629916,-82.15387102554772,-26.44062736075145,,,0,1
2024-01-09,9948.681890159814,9797.459840435326,9930.3046875,666469,26.46787556290195,19.809619298609324,-109.9908390188375,-87.72126462420567,-22.26957439463183,,,0,1
2024-01-10,9956.70553805225,9856.898251734436,9916.53515625,481699,23.72444781438672,19.86512515417104,-110.92980538029951,-92.36297277542445,-18.56683260487506,,,0,1
2024-01-11,10029.368440599008,9906.43003088564,9917.42578125,1024815,23.90189505599281,24.698072811093834,-110.33025845118391,-95.95642991057636,-14.373828540607548,,,0,1
2024-01-12,9950.960144492466,9842.980051544286,9872.40234375,850190,14.931470026379614,20.85260429891972,-112.19481631639428,-99.20410719173995,-12.99070912465433,,,0,1
2024-01-15,10004.305649741076,9854.916874124914,9992.517578125,463380,38.86311018325026,25.8988250885409,-102.7952367869566,-99.92233311078328,-2.8729036761733084,,,0,1
2024-01-16,10144.184688177116,9965.868941705254,10088.2626953125,536823,57.93927236393668,37.24461752452219,-86.62165103483858,-97.26219669559435,10.640545660755777,,,0,1
2024-01-17,10066.715892228538,9902.913458362318,9957.646484375,610250,31.915428052471405,42.905936866552786,-83.38242374218316,-94.48624210491212,11.103818362728958,,,0,1
2024-01-18,9955.962418604213,9646.535456176032,9831.63671875,614860,30.76476065149213,40.20648702263341,-89.94640162551877,-93.57827400903346,3.6318723835146898,,,0,1
2024-01-19,9957.59700695872,9855.95645563231,9943.77734375,377018,53.86400929526023,38.84806599974126,-85.11839823923947,-91.88629885507467,6.767900615835202,,,0,1
2024-01-23,9879.683206001406,9740.101212320782,9768.1865234375,956269,24.445143172893058,36.35797103988181,-94.37300919241716,-92.38364092254317,-1.9893682698739923,,,0,1
2024-01-24,9906.430605567095,9663.723055730701,9894.7412109375,459092,49.875643083666425,42.728265183939904,-90.45276624470898,-91.99746598697634,1.5446997422673547,,,0,1
