Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-04-03,460.92054796445075,440.9932731191312,450.33013916015625,5826085,656.8359317352052,359.9816860626463,508.40880889892577,30.29378212766406,31.126923702932647,,,0,1
2020-04-07,482.1013240492624,463.16824720088556,475.3580017089844,3531972,631.7200188122785,367.26679759397155,499.493408203125,53.53117168111373,34.62174315781038,,,0,1
2020-04-08,492.60533968193425,464.24898749789503,483.18206787109375,4113059,606.1859913374186,377.1097300981282,491.6478607177734,62.567114916267144,48.79735624168165,,,0,1
2020-04-09,503.7576592126259,464.7244171742854,471.3812561035156,5917001,585.2014817095935,384.3007613323987,484.7511215209961,59.53244456422885,58.54357705386991,,,0,1
2020-04-13,476.3522541361066,451.06495207897206,455.4739990234375,3822640,557.9656137305456,395.8282430809779,476.89692840576174,44.69969289487988,55.59975079179196,,,0,1
2020-04-15,474.2774092347634,456.4682523153473,465.6754455566406,6316254,542.6833979339037,401.4969670563306,472.0901824951172,60.42232890741388,54.8848221221742,,,0,1
2020-04-16,458.1972557349934,439.48033537641135,447.5204162597656,7001494,521.4316275033816,410.79238067532935,466.1120040893555,32.972676682418324,46.03156616157069,,,0,1
2020-04-17,459.92628064140484,432.26154195620757,440.777099609375,10839705,511.83863432024475,412.29775178815373,462.06819305419924,24.935538984586437,39.443514858139544,,,0,1
2020-04-20,459.83986423273086,442.635833202894,453.74493408203125,4549088,502.23106649602096,415.801779573315,459.016423034668,40.391475091841905,32.766563586282224,,,0,1
2020-04-21,449.55209275201736,437.3623095757642,443.45721435546875,2950307,494.99521616853366,417.2712663754117,456.1332412719727,28.12987974850376,31.152297941644036,,,0,1
2020-04-22,451.1946514139931,438.3564510244418,448.08233642578125,2268496,494.639347340375,416.6156361801328,455.6274917602539,33.64241087756316,34.05458857263628,,,0,1
2020-04-23,456.3385329430381,440.30163873619836,452.75079345703125,6094748,486.8042654007771,419.8990060835979,453.3516357421875,28.65785204438402,30.14338089015031,,,0,1
2020-04-24,460.445052758197,434.0771205366321,435.2442321777344,4817852,485.17226572502346,422.93586110603127,454.05406341552737,4.171821262446314,22.15736139479783,,,0,1
2020-04-27,448.6875655513626,437.8810249552315,442.3765563964844,4032316,484.7791873244349,424.03784758767455,454.4085174560547,14.147641618075088,15.659104974968473,,,0,1
